seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: ALIE, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_ALIE_TrimmedMean_2000_100_0.01_FedSGD.txt

Started on Tue Dec  2 20:15:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 51 		Train Acc: 0.5253	Train loss: 0.0616	Test Acc: 0.5280	Test loss: 0.0612
Epoch 52 		Train Acc: 0.5209	Train loss: 0.0611	Test Acc: 0.5233	Test loss: 0.0605
Epoch 53 		Train Acc: 0.5153	Train loss: 0.0606	Test Acc: 0.5222	Test loss: 0.0595
Epoch 54 		Train Acc: 0.5234	Train loss: 0.0591	Test Acc: 0.5204	Test loss: 0.0582
Epoch 55 		Train Acc: 0.5122	Train loss: 0.0585	Test Acc: 0.5203	Test loss: 0.0568
Epoch 56 		Train Acc: 0.5193	Train loss: 0.0776	Test Acc: 0.5217	Test loss: 0.0553
Epoch 57 		Train Acc: 0.5044	Train loss: 0.0556	Test Acc: 0.5245	Test loss: 0.0537
Epoch 58 		Train Acc: 0.5300	Train loss: 0.0538	Test Acc: 0.5290	Test loss: 0.0521
Epoch 59 		Train Acc: 0.5325	Train loss: 0.0521	Test Acc: 0.5351	Test loss: 0.0504
Epoch 60 		Train Acc: 0.5384	Train loss: 0.0501	Test Acc: 0.5422	Test loss: 0.0487
Epoch 61 		Train Acc: 0.5513	Train loss: 0.0478	Test Acc: 0.5533	Test loss: 0.0468
Epoch 62 		Train Acc: 0.5478	Train loss: 0.0479	Test Acc: 0.5645	Test loss: 0.0448
Epoch 63 		Train Acc: 0.5525	Train loss: 0.0458	Test Acc: 0.5751	Test loss: 0.0427
Epoch 64 		Train Acc: 0.5703	Train loss: 0.0434	Test Acc: 0.5875	Test loss: 0.0405
Epoch 65 		Train Acc: 0.5841	Train loss: 0.0411	Test Acc: 0.6043	Test loss: 0.0384
Epoch 66 		Train Acc: 0.5928	Train loss: 0.0388	Test Acc: 0.6176	Test loss: 0.0364
Epoch 67 		Train Acc: 0.6028	Train loss: 0.0379	Test Acc: 0.6305	Test loss: 0.0345
Epoch 68 		Train Acc: 0.6344	Train loss: 0.0342	Test Acc: 0.6484	Test loss: 0.0327
Epoch 69 		Train Acc: 0.6462	Train loss: 0.0331	Test Acc: 0.6767	Test loss: 0.0308
Epoch 70 		Train Acc: 0.6891	Train loss: 0.0301	Test Acc: 0.7090	Test loss: 0.0290
Epoch 71 		Train Acc: 0.7087	Train loss: 0.0296	Test Acc: 0.7506	Test loss: 0.0270
Epoch 72 		Train Acc: 0.7359	Train loss: 0.0278	Test Acc: 0.7914	Test loss: 0.0249
Epoch 73 		Train Acc: 0.7906	Train loss: 0.0247	Test Acc: 0.8287	Test loss: 0.0227
Epoch 74 		Train Acc: 0.8175	Train loss: 0.0237	Test Acc: 0.8530	Test loss: 0.0205
Epoch 75 		Train Acc: 0.8338	Train loss: 0.0297	Test Acc: 0.8652	Test loss: 0.0184
Epoch 76 		Train Acc: 0.8531	Train loss: 0.0190	Test Acc: 0.8733	Test loss: 0.0166
Epoch 77 		Train Acc: 0.8634	Train loss: 0.0172	Test Acc: 0.8699	Test loss: 0.0155
Epoch 78 		Train Acc: 0.8578	Train loss: 0.0159	Test Acc: 0.8648	Test loss: 0.0147
Epoch 79 		Train Acc: 0.8425	Train loss: 0.0162	Test Acc: 0.8665	Test loss: 0.0141
Epoch 80 		Train Acc: 0.8475	Train loss: 0.0153	Test Acc: 0.8719	Test loss: 0.0134
Epoch 81 		Train Acc: 0.8719	Train loss: 0.0132	Test Acc: 0.8807	Test loss: 0.0127
Epoch 82 		Train Acc: 0.8681	Train loss: 0.0143	Test Acc: 0.8877	Test loss: 0.0123
Epoch 83 		Train Acc: 0.8884	Train loss: 0.0126	Test Acc: 0.8906	Test loss: 0.0120
Epoch 84 		Train Acc: 0.8744	Train loss: 0.0130	Test Acc: 0.8909	Test loss: 0.0119
Epoch 85 		Train Acc: 0.8791	Train loss: 0.0126	Test Acc: 0.8905	Test loss: 0.0118
Epoch 86 		Train Acc: 0.8825	Train loss: 0.0123	Test Acc: 0.8936	Test loss: 0.0117
Epoch 87 		Train Acc: 0.8762	Train loss: 0.0129	Test Acc: 0.8958	Test loss: 0.0115
Epoch 88 		Train Acc: 0.8941	Train loss: 0.0116	Test Acc: 0.8962	Test loss: 0.0114
Epoch 89 		Train Acc: 0.8897	Train loss: 0.0130	Test Acc: 0.8995	Test loss: 0.0111
Epoch 90 		Train Acc: 0.8950	Train loss: 0.0120	Test Acc: 0.9027	Test loss: 0.0107
Epoch 91 		Train Acc: 0.9009	Train loss: 0.0105	Test Acc: 0.9068	Test loss: 0.0105
Epoch 92 		Train Acc: 0.8984	Train loss: 0.0112	Test Acc: 0.9067	Test loss: 0.0104
Epoch 93 		Train Acc: 0.9097	Train loss: 0.0108	Test Acc: 0.9072	Test loss: 0.0103
Epoch 94 		Train Acc: 0.9060	Train loss: 0.0144	Test Acc: 0.9077	Test loss: 0.0102
Epoch 95 		Train Acc: 0.9031	Train loss: 0.0110	Test Acc: 0.9118	Test loss: 0.0098
Epoch 96 		Train Acc: 0.8997	Train loss: 0.0109	Test Acc: 0.9109	Test loss: 0.0096
Epoch 97 		Train Acc: 0.9000	Train loss: 0.0115	Test Acc: 0.9120	Test loss: 0.0094
Epoch 98 		Train Acc: 0.9066	Train loss: 0.0110	Test Acc: 0.9153	Test loss: 0.0091
Epoch 99 		Train Acc: 0.9178	Train loss: 0.0092	Test Acc: 0.9207	Test loss: 0.0089
Epoch 100		Train Acc: 0.9100	Train loss: 0.0107	Test Acc: 0.9190	Test loss: 0.0090
Epoch 101		Train Acc: 0.9166	Train loss: 0.0090	Test Acc: 0.9179	Test loss: 0.0090
Epoch 102		Train Acc: 0.9147	Train loss: 0.0097	Test Acc: 0.9221	Test loss: 0.0085
Epoch 103		Train Acc: 0.9116	Train loss: 0.0091	Test Acc: 0.9217	Test loss: 0.0083
Epoch 104		Train Acc: 0.9094	Train loss: 0.0096	Test Acc: 0.9219	Test loss: 0.0085
Epoch 105		Train Acc: 0.9213	Train loss: 0.0090	Test Acc: 0.9219	Test loss: 0.0086
Epoch 106		Train Acc: 0.9097	Train loss: 0.0089	Test Acc: 0.9247	Test loss: 0.0081
Epoch 107		Train Acc: 0.9181	Train loss: 0.0095	Test Acc: 0.9271	Test loss: 0.0080
Epoch 108		Train Acc: 0.9266	Train loss: 0.0076	Test Acc: 0.9247	Test loss: 0.0082
Epoch 109		Train Acc: 0.9219	Train loss: 0.0090	Test Acc: 0.9259	Test loss: 0.0080
Epoch 110		Train Acc: 0.9209	Train loss: 0.0087	Test Acc: 0.9320	Test loss: 0.0073
Epoch 111		Train Acc: 0.9216	Train loss: 0.0086	Test Acc: 0.9337	Test loss: 0.0071
Epoch 112		Train Acc: 0.9219	Train loss: 0.0077	Test Acc: 0.9278	Test loss: 0.0074
Epoch 113		Train Acc: 0.9197	Train loss: 0.0123	Test Acc: 0.9318	Test loss: 0.0072
Epoch 114		Train Acc: 0.9222	Train loss: 0.0089	Test Acc: 0.9339	Test loss: 0.0069
Epoch 115		Train Acc: 0.9247	Train loss: 0.0081	Test Acc: 0.9365	Test loss: 0.0068
Epoch 116		Train Acc: 0.9322	Train loss: 0.0071	Test Acc: 0.9318	Test loss: 0.0073
Epoch 117		Train Acc: 0.9184	Train loss: 0.0088	Test Acc: 0.9308	Test loss: 0.0071
Epoch 118		Train Acc: 0.9294	Train loss: 0.0072	Test Acc: 0.9380	Test loss: 0.0064
Epoch 119		Train Acc: 0.9313	Train loss: 0.0075	Test Acc: 0.9288	Test loss: 0.0072
Epoch 120		Train Acc: 0.9291	Train loss: 0.0068	Test Acc: 0.9342	Test loss: 0.0067
Epoch 121		Train Acc: 0.9347	Train loss: 0.0067	Test Acc: 0.9396	Test loss: 0.0062
Epoch 122		Train Acc: 0.9331	Train loss: 0.0075	Test Acc: 0.9396	Test loss: 0.0063
Epoch 123		Train Acc: 0.9281	Train loss: 0.0080	Test Acc: 0.9357	Test loss: 0.0067
Epoch 124		Train Acc: 0.9272	Train loss: 0.0076	Test Acc: 0.9405	Test loss: 0.0063
Epoch 125		Train Acc: 0.9309	Train loss: 0.0070	Test Acc: 0.9421	Test loss: 0.0060
Epoch 126		Train Acc: 0.9359	Train loss: 0.0069	Test Acc: 0.9378	Test loss: 0.0062
Epoch 127		Train Acc: 0.9337	Train loss: 0.0063	Test Acc: 0.9375	Test loss: 0.0063
Epoch 128		Train Acc: 0.9313	Train loss: 0.0069	Test Acc: 0.9410	Test loss: 0.0060
Epoch 129		Train Acc: 0.9337	Train loss: 0.0071	Test Acc: 0.9436	Test loss: 0.0060
Epoch 130		Train Acc: 0.9375	Train loss: 0.0068	Test Acc: 0.9396	Test loss: 0.0063
Epoch 131		Train Acc: 0.9375	Train loss: 0.0068	Test Acc: 0.9402	Test loss: 0.0063
Epoch 132		Train Acc: 0.9321	Train loss: 0.0097	Test Acc: 0.9434	Test loss: 0.0059
Epoch 133		Train Acc: 0.9363	Train loss: 0.0069	Test Acc: 0.9408	Test loss: 0.0062
Epoch 134		Train Acc: 0.9284	Train loss: 0.0073	Test Acc: 0.9486	Test loss: 0.0055
Epoch 135		Train Acc: 0.9409	Train loss: 0.0061	Test Acc: 0.9464	Test loss: 0.0056
Epoch 136		Train Acc: 0.9372	Train loss: 0.0062	Test Acc: 0.9400	Test loss: 0.0060
Epoch 137		Train Acc: 0.9397	Train loss: 0.0066	Test Acc: 0.9452	Test loss: 0.0056
Epoch 138		Train Acc: 0.9334	Train loss: 0.0068	Test Acc: 0.9475	Test loss: 0.0055
Epoch 139		Train Acc: 0.9441	Train loss: 0.0061	Test Acc: 0.9434	Test loss: 0.0060
Epoch 140		Train Acc: 0.9331	Train loss: 0.0073	Test Acc: 0.9463	Test loss: 0.0056
Epoch 141		Train Acc: 0.9447	Train loss: 0.0058	Test Acc: 0.9497	Test loss: 0.0052
Epoch 142		Train Acc: 0.9463	Train loss: 0.0061	Test Acc: 0.9465	Test loss: 0.0058
Epoch 143		Train Acc: 0.9331	Train loss: 0.0075	Test Acc: 0.9492	Test loss: 0.0054
Epoch 144		Train Acc: 0.9409	Train loss: 0.0065	Test Acc: 0.9507	Test loss: 0.0051
Epoch 145		Train Acc: 0.9344	Train loss: 0.0065	Test Acc: 0.9512	Test loss: 0.0051
Epoch 146		Train Acc: 0.9494	Train loss: 0.0053	Test Acc: 0.9473	Test loss: 0.0056
Epoch 147		Train Acc: 0.9441	Train loss: 0.0059	Test Acc: 0.9523	Test loss: 0.0050
Epoch 148		Train Acc: 0.9494	Train loss: 0.0051	Test Acc: 0.9452	Test loss: 0.0054
Epoch 149		Train Acc: 0.9456	Train loss: 0.0052	Test Acc: 0.9521	Test loss: 0.0051
Epoch 150		Train Acc: 0.9406	Train loss: 0.0064	Test Acc: 0.9483	Test loss: 0.0052
Epoch 151		Train Acc: 0.9389	Train loss: 0.0082	Test Acc: 0.9498	Test loss: 0.0051
Epoch 152		Train Acc: 0.9369	Train loss: 0.0066	Test Acc: 0.9535	Test loss: 0.0050
Epoch 153		Train Acc: 0.9513	Train loss: 0.0051	Test Acc: 0.9508	Test loss: 0.0053
Epoch 154		Train Acc: 0.9431	Train loss: 0.0055	Test Acc: 0.9512	Test loss: 0.0051
Epoch 155		Train Acc: 0.9475	Train loss: 0.0061	Test Acc: 0.9527	Test loss: 0.0049
Epoch 156		Train Acc: 0.9478	Train loss: 0.0056	Test Acc: 0.9479	Test loss: 0.0053
