seed: 42, epochs: 2000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: TMRC, defense: Krum, attack_params: {'scaling_factor': 8.0, 'importance_ratio"': 0.5}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_TMRC_Krum_2000_100_0.01_FedSGD.txt

Started on Wed Dec 10 14:41:39 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 50 		Train Acc: 0.7725	Train loss: 0.0212	Test Acc: 0.8085	Test loss: 0.0197
Epoch 51 		Train Acc: 0.7913	Train loss: 0.0213	Test Acc: 0.8216	Test loss: 0.0180
Epoch 52 		Train Acc: 0.8125	Train loss: 0.0193	Test Acc: 0.8359	Test loss: 0.0170
Epoch 53 		Train Acc: 0.8334	Train loss: 0.0173	Test Acc: 0.8567	Test loss: 0.0151
Epoch 54 		Train Acc: 0.8450	Train loss: 0.0156	Test Acc: 0.8600	Test loss: 0.0148
Epoch 55 		Train Acc: 0.8444	Train loss: 0.0160	Test Acc: 0.8416	Test loss: 0.0164
Epoch 56 		Train Acc: 0.8281	Train loss: 0.0244	Test Acc: 0.8464	Test loss: 0.0155
Epoch 57 		Train Acc: 0.8331	Train loss: 0.0166	Test Acc: 0.8763	Test loss: 0.0133
Epoch 58 		Train Acc: 0.8703	Train loss: 0.0142	Test Acc: 0.8833	Test loss: 0.0126
Epoch 59 		Train Acc: 0.8853	Train loss: 0.0133	Test Acc: 0.8718	Test loss: 0.0136
Epoch 60 		Train Acc: 0.8575	Train loss: 0.0149	Test Acc: 0.8687	Test loss: 0.0135
Epoch 61 		Train Acc: 0.8600	Train loss: 0.0141	Test Acc: 0.8796	Test loss: 0.0125
Epoch 62 		Train Acc: 0.8741	Train loss: 0.0127	Test Acc: 0.8889	Test loss: 0.0114
Epoch 63 		Train Acc: 0.8781	Train loss: 0.0125	Test Acc: 0.8839	Test loss: 0.0117
Epoch 64 		Train Acc: 0.8731	Train loss: 0.0133	Test Acc: 0.8811	Test loss: 0.0119
Epoch 65 		Train Acc: 0.8778	Train loss: 0.0124	Test Acc: 0.8760	Test loss: 0.0124
Epoch 66 		Train Acc: 0.8778	Train loss: 0.0118	Test Acc: 0.8678	Test loss: 0.0130
Epoch 67 		Train Acc: 0.8609	Train loss: 0.0137	Test Acc: 0.8695	Test loss: 0.0131
Epoch 68 		Train Acc: 0.8738	Train loss: 0.0127	Test Acc: 0.8892	Test loss: 0.0116
Epoch 69 		Train Acc: 0.8809	Train loss: 0.0120	Test Acc: 0.8905	Test loss: 0.0117
Epoch 70 		Train Acc: 0.8766	Train loss: 0.0123	Test Acc: 0.8808	Test loss: 0.0126
Epoch 71 		Train Acc: 0.8625	Train loss: 0.0142	Test Acc: 0.8701	Test loss: 0.0134
Epoch 72 		Train Acc: 0.8650	Train loss: 0.0139	Test Acc: 0.8990	Test loss: 0.0106
Epoch 73 		Train Acc: 0.8825	Train loss: 0.0119	Test Acc: 0.8944	Test loss: 0.0107
Epoch 74 		Train Acc: 0.8756	Train loss: 0.0123	Test Acc: 0.8759	Test loss: 0.0122
Epoch 75 		Train Acc: 0.8792	Train loss: 0.0168	Test Acc: 0.8726	Test loss: 0.0125
Epoch 76 		Train Acc: 0.8616	Train loss: 0.0133	Test Acc: 0.8872	Test loss: 0.0109
Epoch 77 		Train Acc: 0.8681	Train loss: 0.0124	Test Acc: 0.9037	Test loss: 0.0097
Epoch 78 		Train Acc: 0.9038	Train loss: 0.0101	Test Acc: 0.9088	Test loss: 0.0092
Epoch 79 		Train Acc: 0.9081	Train loss: 0.0096	Test Acc: 0.9061	Test loss: 0.0095
Epoch 80 		Train Acc: 0.9031	Train loss: 0.0103	Test Acc: 0.9046	Test loss: 0.0098
Epoch 81 		Train Acc: 0.8891	Train loss: 0.0109	Test Acc: 0.9040	Test loss: 0.0099
Epoch 82 		Train Acc: 0.8988	Train loss: 0.0100	Test Acc: 0.8990	Test loss: 0.0103
Epoch 83 		Train Acc: 0.8928	Train loss: 0.0110	Test Acc: 0.9006	Test loss: 0.0100
Epoch 84 		Train Acc: 0.9003	Train loss: 0.0104	Test Acc: 0.9096	Test loss: 0.0093
Epoch 85 		Train Acc: 0.8934	Train loss: 0.0103	Test Acc: 0.9191	Test loss: 0.0085
Epoch 86 		Train Acc: 0.9072	Train loss: 0.0096	Test Acc: 0.9251	Test loss: 0.0082
Epoch 87 		Train Acc: 0.9091	Train loss: 0.0087	Test Acc: 0.9237	Test loss: 0.0083
Epoch 88 		Train Acc: 0.9097	Train loss: 0.0088	Test Acc: 0.9236	Test loss: 0.0079
Epoch 89 		Train Acc: 0.9222	Train loss: 0.0083	Test Acc: 0.9120	Test loss: 0.0088
Epoch 90 		Train Acc: 0.9050	Train loss: 0.0092	Test Acc: 0.9146	Test loss: 0.0084
Epoch 91 		Train Acc: 0.9028	Train loss: 0.0095	Test Acc: 0.9163	Test loss: 0.0082
Epoch 92 		Train Acc: 0.9078	Train loss: 0.0092	Test Acc: 0.9172	Test loss: 0.0081
Epoch 93 		Train Acc: 0.9128	Train loss: 0.0086	Test Acc: 0.9184	Test loss: 0.0080
Epoch 94 		Train Acc: 0.9015	Train loss: 0.0129	Test Acc: 0.9196	Test loss: 0.0077
Epoch 95 		Train Acc: 0.9159	Train loss: 0.0086	Test Acc: 0.9165	Test loss: 0.0084
Epoch 96 		Train Acc: 0.9019	Train loss: 0.0094	Test Acc: 0.9027	Test loss: 0.0096
Epoch 97 		Train Acc: 0.8972	Train loss: 0.0103	Test Acc: 0.9109	Test loss: 0.0089
Epoch 98 		Train Acc: 0.9038	Train loss: 0.0100	Test Acc: 0.9243	Test loss: 0.0077
Epoch 99 		Train Acc: 0.9263	Train loss: 0.0079	Test Acc: 0.9269	Test loss: 0.0074
Epoch 100		Train Acc: 0.9306	Train loss: 0.0073	Test Acc: 0.9361	Test loss: 0.0068
Epoch 101		Train Acc: 0.9337	Train loss: 0.0073	Test Acc: 0.9225	Test loss: 0.0077
Epoch 102		Train Acc: 0.9103	Train loss: 0.0087	Test Acc: 0.8909	Test loss: 0.0101
Epoch 103		Train Acc: 0.8991	Train loss: 0.0102	Test Acc: 0.8763	Test loss: 0.0115
Epoch 104		Train Acc: 0.8703	Train loss: 0.0117	Test Acc: 0.9264	Test loss: 0.0076
Epoch 105		Train Acc: 0.9222	Train loss: 0.0081	Test Acc: 0.9362	Test loss: 0.0067
Epoch 106		Train Acc: 0.9284	Train loss: 0.0074	Test Acc: 0.9350	Test loss: 0.0068
Epoch 107		Train Acc: 0.9309	Train loss: 0.0073	Test Acc: 0.9383	Test loss: 0.0067
Epoch 108		Train Acc: 0.9275	Train loss: 0.0076	Test Acc: 0.9330	Test loss: 0.0069
Epoch 109		Train Acc: 0.9206	Train loss: 0.0077	Test Acc: 0.9340	Test loss: 0.0069
Epoch 110		Train Acc: 0.9197	Train loss: 0.0080	Test Acc: 0.9378	Test loss: 0.0067
Epoch 111		Train Acc: 0.9325	Train loss: 0.0074	Test Acc: 0.9395	Test loss: 0.0065
Epoch 112		Train Acc: 0.9319	Train loss: 0.0072	Test Acc: 0.9385	Test loss: 0.0065
Epoch 113		Train Acc: 0.9254	Train loss: 0.0098	Test Acc: 0.9390	Test loss: 0.0064
Epoch 114		Train Acc: 0.9313	Train loss: 0.0071	Test Acc: 0.9386	Test loss: 0.0064
Epoch 115		Train Acc: 0.9272	Train loss: 0.0074	Test Acc: 0.9410	Test loss: 0.0063
Epoch 116		Train Acc: 0.9334	Train loss: 0.0069	Test Acc: 0.9392	Test loss: 0.0063
Epoch 117		Train Acc: 0.9328	Train loss: 0.0071	Test Acc: 0.9376	Test loss: 0.0065
Epoch 118		Train Acc: 0.9331	Train loss: 0.0073	Test Acc: 0.9394	Test loss: 0.0063
Epoch 119		Train Acc: 0.9309	Train loss: 0.0074	Test Acc: 0.9370	Test loss: 0.0065
Epoch 120		Train Acc: 0.9256	Train loss: 0.0071	Test Acc: 0.9397	Test loss: 0.0063
Epoch 121		Train Acc: 0.9256	Train loss: 0.0073	Test Acc: 0.9374	Test loss: 0.0065
Epoch 122		Train Acc: 0.9328	Train loss: 0.0068	Test Acc: 0.9404	Test loss: 0.0063
Epoch 123		Train Acc: 0.9303	Train loss: 0.0071	Test Acc: 0.9373	Test loss: 0.0064
Epoch 124		Train Acc: 0.9369	Train loss: 0.0068	Test Acc: 0.9400	Test loss: 0.0062
